,Country,Region,iso_a3,wh_score,gdi,gii,efs,pdn,year,region_5,region_14,region_12,region_8,region_9,region_2,region_11,region_13,region_10,region_7,region_1,region_3,region_4,region_6
0,Albania,Southern Europe,ALB,4.65500020980835,0.97,0.256,65.65003359745437,105.135145985401,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Algeria,Northern Africa,DZA,6.355000019073486,0.858,0.442,48.88185778143785,16.680252672416,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Angola,Sub-Saharan Africa,AGO,3.865999937057495,0.838,0.575,47.885803839145936,22.366552498596306,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Armenia,Western Asia,ARM,4.360000133514403,0.977,0.301,67.12509156678911,102.75914998243799,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Australia,Australia and New Zealand,AUS,7.313000202178955,0.975,0.11,81.38728705367336,3.10011259648803,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Austria,Western Europe,AUT,7.11899995803833,0.9640000000000001,0.08900000000000001,71.18560722056027,104.73079268267401,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Azerbaijan,Western Asia,AZE,5.290999889373778,0.9440000000000001,0.31,61.02980785380421,116.731079539702,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Bahrain,Western Asia,BHR,6.2179999351501465,0.938,0.226,73.44074755841021,1763.3045580825399,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Bangladesh,Southern Asia,BGD,4.64300012588501,0.883,0.5489999999999999,53.92615273600198,1200.40159791042,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Belarus,Eastern Europe,BLR,5.802000045776367,1.015,0.153,49.774208070104144,46.751941760932,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Belgium,Western Europe,BEL,6.928999900817871,0.973,0.057,68.78363554813522,372.33143989432,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Belize,Latin America and the Caribbean,BLZ,5.9559998512268075,0.973,0.386,56.79799997922522,15.823454625164402,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Benin,Sub-Saharan Africa,BEN,3.483999967575073,0.883,0.622,58.78387171992971,93.7916991841078,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Bhutan,Southern Asia,BTN,5.196000099182129,0.894,0.495,57.407578346456546,19.0958367480163,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Bolivia,Latin America and the Caribbean,BOL,5.822000026702881,0.929,0.456,46.82191105168319,10.0339056586357,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Bosnia and Herzegovina,Southern Europe,BIH,5.163000106811523,0.9159999999999999,0.177,59.0356152820774,66.97970703125,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Botswana,Sub-Saharan Africa,BWA,3.973999977111816,0.987,0.469,69.82451916393937,3.74202177403702,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Brazil,Latin America and the Caribbean,BRA,6.952000141143799,1.0190000000000001,0.413,56.607279028600296,24.4637884744692,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Bulgaria,Eastern Europe,BGR,4.2170000076293945,0.992,0.23399999999999999,66.77403210618756,66.12003500368459,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Burkina Faso,Sub-Saharan Africa,BFA,3.739000082015991,0.865,0.623,58.5762945495084,66.1938011695906,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
